Latitude,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
17,331.950263,371.582633,413.579301,441.242713,450.396091,450.200224,448.078519,440.890516,420.020023,382.681009,340.764474,317.996681,400.781871
17.5,328.9417485,369.22491,412.262246,441.1321335,451.2734515,451.537887,449.1924405,441.176508,419.1697445,380.701449,337.952463,314.823544,399.7823775
18,325.933234,366.867187,410.945191,441.021554,452.150812,452.87555,450.306362,441.4625,418.319466,378.721889,335.140452,311.650407,398.782884
18.5,322.8858255,364.4577125,409.56591,440.846315,452.967833,454.156835,451.3622075,441.6857065,417.4059075,376.6867675,332.2858755,308.443136,397.7291695
19,319.838417,362.048238,408.186629,440.671076,453.784854,455.43812,452.418053,441.908913,416.492349,374.651646,329.431299,305.235865,396.675455
19.5,316.7532425,359.5878205,406.745549,440.4312755,454.541444,456.662875,453.415698,442.0693475,415.5157965,372.5616205,326.535184,301.9956895,395.567962
20,313.668068,357.127403,405.304469,440.191475,455.298034,457.88763,454.413343,442.229782,414.539244,370.471595,323.639069,298.755514,394.460469
20.5,310.546284,354.616873,403.802035,439.8872345,455.9941335,459.0557395,455.3526965,442.327483,413.5000025,368.327344,320.702467,295.483693,393.2996655
21,307.4245,352.106343,402.299601,439.582994,456.690233,460.223849,456.29205,442.425184,412.460761,366.183093,317.765865,292.211872,392.138862
21.5,304.2672915,349.5465515,400.736279,439.214459,457.3258125,461.3352345,457.1730535,442.460215,411.3591565,363.9853135,314.789852,288.9096955,390.925243
22,301.110083,346.98676,399.172957,438.845924,457.961392,462.44662,458.054057,442.495246,410.257552,361.787534,311.813839,285.607519,389.711624
17,331.950263,371.582633,413.579301,441.242713,450.396091,450.200224,448.078519,440.890516,420.020023,382.681009,340.764474,317.996681,400.781871
17.1,331.3485601,371.1110884,413.31589,441.2205971,450.5715631,450.4677566,448.3013033,440.9477144,419.8499673,382.285097,340.2020718,317.3620536,400.5819723
17.2,330.7468572,370.6395438,413.052479,441.1984812,450.7470352,450.7352892,448.5240876,441.0049128,419.6799116,381.889185,339.6396696,316.7274262,400.3820736
17.3,330.1451543,370.1679992,412.789068,441.1763653,450.9225073,451.0028218,448.7468719,441.0621112,419.5098559,381.493273,339.0772674,316.0927988,400.1821749
